1, m
2, l
3, l
4, m
5, s
6, l
7, l
8, m
9, l
10, l
11, l
12, l
13, l
14, s
15, m
16, l
17, m
18, l
19, l
20, l
21, l
22, l
23, l
24, m
25, l
26, l
27, m
28, m
29, l
30, l
31, m
32, m
33, l
34, l
35, l
36, l
37, m
38, l
39, m
40, l
41,l
42,m
43,m
44,l
45,m
46,l
47,l
48,m
49,l
50,m
51,m
52,m
53,l
54,s
55,s
56,l
57,m
58,m
59,m
60,l
61,l
62,l
63,l
64,m
65,l
66,s
67,l
68,m
69,l
70,l
71,m
72,l
73,l
74,l
75,l
76,m
77,m
78,s
79,m
80,l
81,l
82,rod
83,s
84,l
85,l
86,l
87,l
88,l
89,l
90,l
91,l
92,l
93,l
94,l
95,l
96,l
97,l
98,l
99,l
100,m
101,l
102,l
103,l
104,m
105,m
106,l
107,m
108,l
109,l
110,l
111,l
112,l
113,l
114,l
115,l
116,l
117,l
118,m
119,m
120,l
121,m
122,l
123,lms
124,m
125,l
126,l
127,l
128,m
129,l
130,l
131,m
132,l
133,l
134,l
135,m
136,m
137,l
138,m
139,m
140,m
141,s
142,l
143,l
144,l
145,m
146,l
147,l
148,l
149,l
150,m
151,l
152,l
153,m
154,m
155,l
156,l
157,l
158,s
159,m
160,l
161,m
162,l
163,l
164,l
165,m
166,s
167,l
168,l
169,l
170,m
171,l
172,l
173,m
174,l
175,m
176,s
177,l
178,l
179,l
180,m
