253,266,0,842
244,267,0,2154
238,259,0,170
241,282,0,1369
214,223,0,271
212,232,0,605
226,235,0,264
223,216,0,344
222,228,0,1384
207,215,0,10
236,232,0,621
232,223,0,1180
233,213,0,103
251,213,0,508
242,220,0,650
208,244,0,86
214,252,0,316
225,245,0,1327
198,248,0,713
269,128,0,807
279,127,0,229
288,127,0,439
271,119,0,283
270,144,0,1838
279,152,0,1103
256,152,0,1430
265,135,0,1292
270,156,0,378
276,165,0,364
283,160,0,1492
194,229,0,1677
191,243,0,1713
217,239,0,718
262,260,0,1776
270,268,0,1266
263,281,0,1473
287,270,0,1126
177,199,0,15
191,202,0,151
196,211,0,1476
205,202,0,954
286,137,0,1018
276,137,0,530
296,142,0,2162
272,278,0,2338
261,273,0,1593
251,283,0,1039
249,275,0,579
256,294,0,476
245,297,0,777
251,305,0,433
276,286,0,631
275,294,0,1922
286,299,0,405
295,299,0,1392
303,294,0,193
279,276,0,1118
289,258,0,1166
294,264,0,957
305,268,0,577
202,226,0,1111
202,235,0,206
173,229,0,72
179,217,0,102
194,219,0,515
187,260,0,1794
184,250,0,2035
179,243,0,970
232,284,0,769
238,292,0,107
227,275,0,1026
316,187,0,472
301,183,0,1604
293,179,0,1088
292,189,0,395
278,175,0,127
314,138,0,1800
321,128,0,2367
328,123,0,1021
324,145,0,1387
310,122,0,1481
236,240,0,1581
258,233,0,1506
264,149,0,1453
257,135,0,533
284,146,0,1158
256,220,0,1388
264,227,0,683
