1, lms
2, lms
3, s
4,s
5, lms
6, lms
7, lms
8, lms
9, lms
10, lms
11, lms
12, lms
13, lms
14, lms
15, lms
16, lms
17, lms
18, lms
19, lms
20, lms
21, lms
22, lms
23, lms
24, lms
25, lms
26, lms
27, lms
28, lms
29, lms
30, lms
31, lms
32, lms
33, lms
34, lms
35, lms
36, lms
37, lms
38, lms
39, lms
40, lms
41, lms
42, lms
43, lms
44, lms
45, lms
46, lms
47, lms
48, lms
49, lms
50, lms
51, lms
52, lms
53, lms
54, lms
55, s
56, lms
57, lms
58, lms
59, lms
60, lms
61,lms
62,lms
63,lms
64,lms
65,lms
66,lms
67,lms
68,lms
69,lms
70,lms
71,lms
72,lms
73,lms
74,lms
75,lms
76,lms
77,lms
78,s
79,lms
80,lms
81,lms
82,lms
83,lms
84,lms
85,lms
86,lms
87,lms
88,lms
