62.877,174.6,3,954
60,168,3,818
68,169,2,598
74.902,169.19,3,958
134,77,3,436
138,73,2,394
144,74,3,823
140,68,3,468
132,103,3,732
134,108,3,663
137,102,3,19
141,107,3,421
144,101,1,151
185,90,3,831
179,92,2,657
186,85,2,317
180,82,2,124
175,81,2,13
170.11,101.54,2,1083
174,98,2,455
169,95,3,373
167,90,2,168
173,91,2,335
146,111,3,578
151.86,110.57,2,1033
148,106,3,627
139,112,3,272
142,122,3,661
144,116,3,407
147,122,2,774
149,116,1,225
153,123,2,497
156,111,2,377
162,115,3,541
168,117,2,296
171,121,3,702
172,127,3,767
166,127,3,84
167,132,3,228
172,138,2,506
165,138,2,366
160,136,2,538
